"","species","sp_id","meanBrightness","Chroma","Hue"
"1","Averrhoa bilimbi","Ab",4.13568068756526,0.859438427813962,550
"2","Arenga engleri","Ae",3.69926557222329,2.7351626215637,565
"3","Ardisia elliptica","Arel",11.0946100925959,2.11248971931993,630
"4","Artocarpus heterophyllus","Arspp",6.14245375969455,2.1686559653259,552
"5","Areca vestiaria","Av",7.58168769379141,6.47384647642825,676
"6","Brownea ariza","Brar",4.55909754587278,1.47706277731142,680
"7","Caesalpinia pulcherrima","Capu",8.99018412966529,0.365430244707515,300
"8","Canna indica","Ci",3.94918252639326,0.895323462495451,680
"9","Caryota mitis","Cn",6.44051020045417,1.41262261478869,552
"10","Hamelia patens","Cp",0.439929390517618,10.8225123872149,680
"11","Dypsis lutescens","Dl",8.11022647021565,1.84610636004218,563
"12","Ficus microcarpa","Fimi",11.0672841829084,2.11278949854103,551
"13","Gnetum gnemon","Gg",12.8699681443011,2.96074665592545,646
"14","Hedychium gardnerianum","Hd",2.87487136294741,2.42903618105402,563
"15","Licuala grandid","Lg",7.02280672703453,5.95643054365449,680
"16","Licuala spinosa","Ls",7.90878698069422,3.45629843457322,662
"17","Mangifera indica","Main",7.40209743288722,2.20290048367245,551
"18","Morinda citrifolia","Moci",13.4462071030289,1.5319127899926,637
"19","Murraya paniculata","Mupa",10.6594286762561,2.37768004154107,665
"20","Ophiopogon japonicus","Oj",1.9927766289934,4.27697566396272,550
"21","Palisota bracteosa?","Pd",5.58060472150488,4.08818614097958,665
"22","Piper arboreum","Piar",7.22451807488013,1.34136441948431,552
"23","Polyalthia littoralis","Pl",3.9717222348422,3.60135427696631,662
"24","Phoenix roebelenii","Pr",1.51249710742636,1.23588561874142,631
"25","Psidium guajava","Psg",4.73867357328514,2.463683844813,550
"26","Psychotria punctata","Pspu",7.81714131865574,2.32782391356284,551
"27","Pseudorhipsalis ramulosa","Psra",9.95607403929459,1.19211820867873,633
"28","Syzygium samarangense","Ss",2.29548257510188,1.59067721469144,621
"29","Steriphoma paradoxum","Stp",4.42506519489333,2.34151675278635,680
